epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,468.322,2.75296,2.92089,0.96665,0.5899,0.10176,0.11317,0.05855,2.80505,3.65027,1.10624,0.00999863,0.00999863,0.00999863
140,471.579,2.9412,3.15628,0.99058,0.69593,0.12963,0.13038,0.05699,2.64648,3.72179,1.06124,0.00999862,0.00999862,0.00999862
141,474.787,2.25335,2.84412,0.95517,0.69593,0.12963,0.13038,0.05699,2.64648,3.72179,1.06124,0.00999861,0.00999861,0.00999861
142,478.499,2.13129,2.77105,0.92903,0.69593,0.12963,0.13038,0.05699,2.64648,3.72179,1.06124,0.0099986,0.0099986,0.0099986
143,482.423,2.24212,2.87803,0.95257,0.69593,0.12963,0.13038,0.05699,2.64648,3.72179,1.06124,0.00999859,0.00999859,0.00999859
144,485.986,2.34195,2.80868,0.93807,0.31162,0.16975,0.13902,0.05721,2.65387,3.51271,0.96745,0.00999858,0.00999858,0.00999858
145,489.175,2.93364,3.11587,0.98495,0.31162,0.16975,0.13902,0.05721,2.65387,3.51271,0.96745,0.00999857,0.00999857,0.00999857
146,492.539,2.90957,3.03537,0.98938,0.31162,0.16975,0.13902,0.05721,2.65387,3.51271,0.96745,0.00999856,0.00999856,0.00999856
147,495.338,2.60086,3.00307,0.97662,0.31162,0.16975,0.13902,0.05721,2.65387,3.51271,0.96745,0.00999855,0.00999855,0.00999855
148,498.538,2.69147,2.89038,0.96978,0.72014,0.15945,0.18196,0.08842,2.30618,3.30879,0.9391,0.00999854,0.00999854,0.00999854
149,501.774,2.36822,2.88467,0.94106,0.72014,0.15945,0.18196,0.08842,2.30618,3.30879,0.9391,0.00999853,0.00999853,0.00999853
150,504.837,2.15572,2.85121,0.95073,0.72014,0.15945,0.18196,0.08842,2.30618,3.30879,0.9391,0.00999852,0.00999852,0.00999852
151,508.291,2.35213,2.69429,0.93156,0.72014,0.15945,0.18196,0.08842,2.30618,3.30879,0.9391,0.00999851,0.00999851,0.00999851
152,511.401,2.23042,2.75895,0.95665,0.31178,0.27205,0.22675,0.10791,2.34625,3.13088,0.89098,0.00999851,0.00999851,0.00999851
153,514.525,2.55204,2.92262,0.97384,0.31178,0.27205,0.22675,0.10791,2.34625,3.13088,0.89098,0.0099985,0.0099985,0.0099985
154,518.106,2.66966,2.83998,0.94845,0.31178,0.27205,0.22675,0.10791,2.34625,3.13088,0.89098,0.00999849,0.00999849,0.00999849
155,521.182,2.49213,2.73699,0.9666,0.31178,0.27205,0.22675,0.10791,2.34625,3.13088,0.89098,0.00999848,0.00999848,0.00999848
156,524.426,2.62906,2.84494,0.94933,0.34623,0.21725,0.21535,0.1077,2.21895,2.85682,0.90136,0.00999847,0.00999847,0.00999847
157,527.449,2.29817,2.71118,0.93811,0.34623,0.21725,0.21535,0.1077,2.21895,2.85682,0.90136,0.00999846,0.00999846,0.00999846
158,530.759,2.66402,2.91212,0.96685,0.34623,0.21725,0.21535,0.1077,2.21895,2.85682,0.90136,0.00999845,0.00999845,0.00999845
159,534.296,2.30138,2.62725,0.92839,0.34623,0.21725,0.21535,0.1077,2.21895,2.85682,0.90136,0.00999844,0.00999844,0.00999844
160,537.95,2.29509,2.88638,0.94302,0.21084,0.22706,0.20866,0.10063,2.3872,2.86961,0.90416,0.00999843,0.00999843,0.00999843
161,541.393,2.47676,2.75904,0.93858,0.21084,0.22706,0.20866,0.10063,2.3872,2.86961,0.90416,0.00999842,0.00999842,0.00999842
162,544.675,2.37324,2.56422,0.95067,0.21084,0.22706,0.20866,0.10063,2.3872,2.86961,0.90416,0.00999841,0.00999841,0.00999841
163,547.939,2.47335,2.69741,0.92935,0.21084,0.22706,0.20866,0.10063,2.3872,2.86961,0.90416,0.0099984,0.0099984,0.0099984
164,550.792,2.30346,2.63758,0.94702,0.25556,0.31047,0.25197,0.11138,2.38576,2.69271,0.91119,0.00999839,0.00999839,0.00999839
165,553.991,2.4673,2.59033,0.93053,0.25556,0.31047,0.25197,0.11138,2.38576,2.69271,0.91119,0.00999838,0.00999838,0.00999838
166,556.834,2.30671,2.74666,0.93645,0.25556,0.31047,0.25197,0.11138,2.38576,2.69271,0.91119,0.00999837,0.00999837,0.00999837
167,559.498,2.1082,2.69852,0.94754,0.25556,0.31047,0.25197,0.11138,2.38576,2.69271,0.91119,0.00999836,0.00999836,0.00999836
168,562.679,2.60466,2.70488,0.92627,0.33884,0.26319,0.22709,0.10981,2.24311,2.78586,0.90589,0.00999835,0.00999835,0.00999835
169,565.989,2.3888,2.76761,0.94728,0.33884,0.26319,0.22709,0.10981,2.24311,2.78586,0.90589,0.00999834,0.00999834,0.00999834
170,569.71,2.38148,2.62499,0.93362,0.33884,0.26319,0.22709,0.10981,2.24311,2.78586,0.90589,0.00999833,0.00999833,0.00999833
171,573.75,2.27775,2.58875,0.9432,0.33884,0.26319,0.22709,0.10981,2.24311,2.78586,0.90589,0.00999832,0.00999832,0.00999832
172,577.878,2.39956,2.6314,0.93296,0.23,0.26954,0.23421,0.10688,2.16429,2.65762,0.90847,0.00999831,0.00999831,0.00999831
173,581.301,2.37613,2.43468,0.92356,0.23,0.26954,0.23421,0.10688,2.16429,2.65762,0.90847,0.0099983,0.0099983,0.0099983
174,584.437,2.49132,2.5345,0.94063,0.23,0.26954,0.23421,0.10688,2.16429,2.65762,0.90847,0.00999829,0.00999829,0.00999829
175,587.341,2.3474,2.61816,0.93172,0.23,0.26954,0.23421,0.10688,2.16429,2.65762,0.90847,0.00999828,0.00999828,0.00999828
176,590.504,2.43338,2.57046,0.92208,0.10654,0.49259,0.19186,0.09095,2.2639,3.0902,0.92596,0.00999827,0.00999827,0.00999827
177,593.353,2.62885,2.82663,0.95864,0.10654,0.49259,0.19186,0.09095,2.2639,3.0902,0.92596,0.00999826,0.00999826,0.00999826
178,596.339,2.68471,2.73938,0.95981,0.10654,0.49259,0.19186,0.09095,2.2639,3.0902,0.92596,0.00999825,0.00999825,0.00999825
179,599.283,2.60495,2.60391,0.95624,0.10654,0.49259,0.19186,0.09095,2.2639,3.0902,0.92596,0.00999824,0.00999824,0.00999824
180,602.413,2.57588,2.71502,0.98052,0.19785,0.23827,0.23595,0.1197,2.09124,2.68399,0.89835,0.00999823,0.00999823,0.00999823
181,605.204,2.15675,2.48194,0.91088,0.19785,0.23827,0.23595,0.1197,2.09124,2.68399,0.89835,0.00999822,0.00999822,0.00999822
182,608.16,2.34062,2.6107,0.91623,0.19785,0.23827,0.23595,0.1197,2.09124,2.68399,0.89835,0.00999821,0.00999821,0.00999821
183,610.783,2.14561,2.42178,0.89287,0.19785,0.23827,0.23595,0.1197,2.09124,2.68399,0.89835,0.0099982,0.0099982,0.0099982
184,613.867,2.91661,2.84186,0.9538,0.2323,0.21057,0.21606,0.08054,2.23924,2.79681,0.91926,0.00999819,0.00999819,0.00999819
185,616.848,2.46378,2.47242,0.88836,0.2323,0.21057,0.21606,0.08054,2.23924,2.79681,0.91926,0.00999818,0.00999818,0.00999818
186,620.155,2.5057,2.54009,0.90343,0.2323,0.21057,0.21606,0.08054,2.23924,2.79681,0.91926,0.00999817,0.00999817,0.00999817
187,623.775,2.60863,2.74511,0.92074,0.2323,0.21057,0.21606,0.08054,2.23924,2.79681,0.91926,0.00999816,0.00999816,0.00999816
188,626.907,2.43607,2.61062,0.94851,0.5008,0.1972,0.28806,0.15361,2.05942,2.52767,0.88351,0.00999815,0.00999815,0.00999815
189,630.129,2.28096,2.62907,0.92483,0.5008,0.1972,0.28806,0.15361,2.05942,2.52767,0.88351,0.00999814,0.00999814,0.00999814
